micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
5706583,-131.84,-643.55,-747.07,5.04,4.21,-2.66,-30.75,18.15,-71.70,
5726592,-149.90,-672.85,-781.25,-2.20,2.85,-1.25,-31.05,18.15,-72.15,
5746596,-135.74,-606.45,-741.21,0.46,2.20,-0.35,-30.90,18.00,-71.55,
5766607,-125.49,-684.57,-728.03,1.63,1.53,-1.50,-31.20,17.70,-70.50,
5786618,-129.88,-638.67,-738.28,-4.73,4.44,-2.58,-31.35,18.60,-71.70,
5806625,-167.48,-609.86,-751.46,-4.92,5.05,1.15,-31.65,18.00,-71.55,
5826632,-132.81,-627.44,-710.94,-3.21,8.23,-0.38,-31.20,17.70,-72.30,
5846635,-113.28,-665.04,-677.25,-5.30,-1.16,3.79,-32.25,17.70,-69.15,
5866643,-144.04,-718.26,-724.61,-1.60,-2.12,-1.56,-32.85,16.80,-71.70,
5886648,-142.09,-659.67,-727.05,-0.14,-3.80,-1.74,-31.05,17.55,-72.15,
5906654,-129.88,-632.81,-736.82,-4.32,1.24,0.63,-33.00,18.75,-71.55,
5926665,-91.80,-563.96,-662.60,-4.60,-1.05,6.09,-31.35,18.15,-71.70,
5946674,-109.86,-672.36,-717.77,2.03,-6.85,4.09,-30.75,19.65,-71.40,
5966682,-139.16,-621.58,-811.04,-5.40,-6.14,-1.45,-30.60,18.00,-71.85,
5986690,-136.23,-574.22,-777.34,-10.23,-2.11,4.67,-31.35,17.55,-72.45,
6006699,-157.71,-649.90,-849.12,-6.72,4.85,9.86,-30.75,17.10,-72.45,
6026711,-160.64,-701.17,-799.32,-2.98,5.68,8.00,-28.65,18.15,-73.50,
6046719,-135.25,-744.63,-791.99,-0.02,11.25,-1.51,-29.10,17.70,-70.80,
6066731,-84.96,-614.75,-690.92,-6.29,9.36,-4.12,-29.85,17.25,-71.55,
6086740,-58.59,-652.83,-670.41,-4.55,1.69,3.95,-30.60,18.75,-71.85,
6106747,-107.42,-711.43,-719.73,-18.47,-0.84,7.37,-29.70,19.65,-73.80,
6126754,-167.48,-737.30,-789.06,-32.92,-3.83,11.53,-29.10,19.80,-72.90,
6146759,-202.64,-661.62,-878.42,-28.90,3.50,2.85,-28.65,20.40,-73.50,
6166765,-138.18,-538.57,-814.45,-29.30,9.50,-1.42,-29.10,19.80,-74.70,
6186774,-83.98,-523.93,-730.96,-17.76,7.88,3.94,-28.20,20.40,-75.15,
6206779,-49.80,-605.96,-647.95,-10.76,-1.68,5.15,-28.65,19.65,-75.60,
6226785,-103.03,-734.86,-719.73,-12.41,-11.11,-0.79,-29.55,18.45,-74.70,
6246792,-122.07,-622.56,-766.11,-35.86,-7.04,-0.41,-29.85,19.05,-75.75,
6266800,-185.06,-513.18,-831.05,-44.03,-7.44,10.60,-27.75,18.75,-75.30,
6286810,-142.09,-506.84,-927.25,-56.81,-9.11,16.38,-27.30,19.80,-78.15,
6306815,-251.46,-463.87,-906.74,-30.78,-18.50,6.70,-27.60,20.40,-78.30,
6326825,-221.19,-466.31,-985.84,-13.50,-6.06,-0.58,-26.85,21.45,-79.35,
6346831,-214.36,-381.35,-953.61,-13.10,-5.79,4.60,-25.35,20.10,-80.10,
6366837,-205.08,-445.31,-875.98,-19.05,3.97,4.72,-25.20,21.75,-80.55,
6386848,-149.90,-511.72,-746.58,-11.65,-3.71,2.79,-24.90,22.80,-79.95,
6406855,-153.81,-551.76,-784.67,-0.32,-13.79,-7.28,-25.80,20.70,-78.30,
6426865,-228.52,-482.42,-790.53,-6.98,-17.95,-6.82,-25.95,22.35,-78.15,
6446871,-256.84,-489.26,-904.30,-3.83,-15.33,2.73,-23.85,22.80,-79.50,
6466876,-200.20,-598.63,-931.15,-3.36,-11.60,0.03,-21.90,21.90,-80.10,
6486882,-234.38,-491.21,-897.46,-4.37,-14.63,1.33,-21.45,22.65,-78.60,
6506892,-217.29,-489.26,-931.64,1.47,-4.66,2.81,-21.90,23.40,-79.35,
6526904,-225.59,-502.93,-846.68,8.08,-3.22,0.43,-22.20,23.70,-80.40,
6546915,-201.17,-599.12,-901.37,8.73,-0.06,-2.70,-20.85,23.40,-79.35,
6566920,-126.46,-543.95,-822.27,2.56,-2.21,-2.72,-22.65,22.95,-79.35,
6586931,-134.28,-512.70,-819.82,2.27,-6.20,4.46,-22.35,24.60,-77.85,
6606941,-147.95,-522.46,-820.80,4.15,-2.82,2.03,-21.45,23.40,-78.60,
6626949,-125.98,-542.48,-740.23,7.88,-1.21,1.31,-21.90,22.20,-79.35,
6646954,-137.70,-584.96,-739.26,9.28,-0.70,-0.66,-21.45,22.20,-78.30,
6666960,-172.85,-586.91,-738.28,5.24,-4.26,-2.47,-21.90,21.45,-79.35,
6686968,-199.22,-560.55,-725.59,0.14,-4.76,-0.17,-22.20,22.20,-80.70,
6706980,-205.08,-506.84,-712.40,-11.68,-4.46,0.90,-24.90,22.35,-77.40,
6726987,-198.24,-544.92,-770.51,-22.66,-6.00,3.48,-22.05,21.30,-80.55,
6746999,-214.84,-504.39,-810.55,-26.49,-7.15,3.39,-21.00,22.80,-80.25,
6767009,-250.00,-477.05,-886.72,-16.06,-2.53,5.68,-21.15,23.40,-80.70,
6787017,-236.33,-495.12,-919.92,-10.09,-3.73,11.30,-22.20,23.70,-77.25,
6807027,-290.53,-461.91,-904.79,12.64,-1.40,1.91,-19.05,23.40,-81.45,
6827032,-273.44,-554.20,-886.23,17.85,-1.36,9.10,-19.20,23.10,-81.90,
